Hs [m],Tp [s],Dp [deg],% of dir bin,% of yr,run number,Exclude
1.76,6.6,221.8,15.41,0.39,6,
2.67,8.62,220.8,40.68,1.029,16,
4.06,10.16,221.3,23.47,0.593,20,
1.37,15.33,224,8.06,0.204,2,
7.05,12.6,223.6,3.42,0.086,24,x
2.11,11.63,223.8,8.96,0.227,11,
4.91,13.62,251.2,11.99,1.764,23,
1.7,7.73,244.8,15.03,2.212,5,
2.69,9.8,247.6,26.75,3.937,17,
1.23,14.62,248.8,18.54,2.729,1,
2.31,17.54,249.4,3.97,0.584,14,
2.94,11.77,250.6,23.72,3.49,18,
4.9,14.43,275.8,8.78,4.698,22,x
1.54,8.62,278,20.9,11.188,4,
3.66,12,277.2,20.95,11.212,19,x
2.16,10.71,277.5,25.39,13.589,12,
1.85,13.54,277.2,16.21,8.674,8,
2.05,16.51,276.4,7.77,4.159,9,x
1.81,9.11,298.6,28.46,8.297,7,
2.16,13.35,295.7,10.7,3.12,13,
1.49,7.12,304.6,22.86,6.664,3,
2.66,11.02,297.2,26.48,7.72,15,
2.08,16.53,295.6,5.28,1.54,10,
4.65,13.23,296.2,6.22,1.813,21,
